COMMAND,SQL,QUERY,XML,WHOLE
GetAllCAPAsByCustomer,23.891,8815.411,0.846,8843.542
GetAllIssuesByProduct,25.184,2333.517,1.446,2363.809
GetAllIssuesByProduct,22.539,9393.108,1.669,9418.872
GetAllTPsByProduct,6.767,1675.079,0.656,1685.704
GetAllTPsByProduct,6.415,7667.431,96.702,7772.051
GetAllSOFsByProduct,22.124,10541.778,11.449,10576.832
GetAllSOFsByProduct,96.953,12902.175,6.239,13138.934
GetAllSOFsByProduct,117.174,11514.461,7.852,11652.734
GetAllCAPAsByCustomer,6.757,9199.009,1.46,9210.644
GetAllCAPAsByCustomer,14.004,6206.32,1.371,6223.531
GetAllCAPAsByCustomer,5.259,7399.165,0.801,7407.128
GetAllCAPAsByCustomer,16.75,7208.138,1.327,7228.546
GetAllCAPAsByCustomer,24.126,7392.213,1.827,7419.807
GetAllCAPAsByCustomer,4.498,6191.349,1.336,6198.8
GetAllIssuesByProduct,92.281,1969.176,4.193,2078.446
GetAllIssuesByProduct,22.651,10750.273,3.246,10778.424
GetAllSOFsByProduct,23.228,12677.688,81.969,12786.255
GetAllSOFsByProduct,25.338,13000.109,8.352,13036.679
GetAllCAPAsByCustomer,7.278,8675.493,1.537,8688.547
GetAllCAPAsByCustomer,23.078,9267.796,1.448,9294.092
GetAllSOFsByProduct,24.253,14363.25,3.254,14392.432
GetAllCAPAsByCustomer,5.262,6997.025,1.344,7005.148
GetRecsIOwn,191.006,9779.252,0.688,10266.175
GetMyOpenRecs,29.751,13918.186,67.843,14032.892
GetAllCAPAsByCustomer,4.879,10094.484,1.18,10102.965
GetAllIssuesByProduct,41.18,3368.076,1.129,3413.115
GetAllIssuesByProduct,31.934,2215.56,1.13,2250.844
GetAllIssuesByProduct,32.188,2001.783,0.596,2036.728
GetAllCAPAsByCustomer,5.936,9325.52,1.801,9335.111
GetAllIssuesByProduct,60.568,381.367,4.425,456.759
GetAllIssuesByProduct,23.479,831.489,2.389,859.889
GetAllSOFsByProduct,7.141,6700.965,33.187,6756.812
GetAllIssuesByProduct,116.697,99.392,3.794,582.0
GetAllIssuesByProduct,35.272,622.747,1.714,662.002
GetAllSOFsByProduct,30.365,15967.003,4.86,16006.274
GetAllIssuesByProduct,23.925,76.101,0.626,102.841
GetAllIssuesByProduct,25.125,617.209,0.712,645.592
GetAllSOFsByProduct,8.577,7435.004,11.822,7457.411
GetAllSOFsByProduct,37.315,13165.28,34.699,13238.873
GetAllSOFsByProduct,192.897,17293.92,10.424,17650.244
GetAllCAPAsByCustomer,111.942,12321.941,1.011,12438.671
GetAllCAPAsByCustomer,9.996,10468.367,4.096,10484.514
GetAllSOFsByProduct,31.261,13739.12,12.257,13784.201
GetAllSOFsByProduct,20.702,11300.078,4.361,11581.671
GetAllIssuesByProduct,234.609,958.104,16.964,1223.812
GetAllIssuesByProduct,29.039,961.451,0.789,993.063
GetAllSOFsByProduct,7.413,14913.298,3.27,14925.819
GetAllSOFsByProduct,9.62,8401.571,3.52,8417.418
GetAllIssuesByProduct,33.511,596.775,0.677,632.763
GetAllIssuesByProduct,55.194,881.233,1.266,939.992
GetMyOpenRecsByGrp,163.634,14829.765,4.239,15015.127
GetMyOpenRecsByGrp,26.173,10446.945,36.248,10511.566
GetAllGPSOFsByProduct,27.847,9489.139,3.46,9528.274
GetAllGPSOFsByProduct,24.399,6108.442,7.734,6142.379
GetAllTPsByProduct,5.932,2883.071,0.92,2951.488
GetAllSOFsByProdAndSrc,23.775,11762.409,43.7,11842.386
GetAllSOFsByProdAndSrc,25.119,11714.931,42.118,11783.944
GetAllRMAsByCustomer,5.348,9730.041,15.774,9759.856
GetAllRMAsByCustomer,6.962,12043.96,2.466,12055.691
GetFAMeetingSOF,21.056,3046.102,44.03,3141.176
GetAllSOFsByProduct,27.314,387.47,2.749,424.835
GetAllSOFsByProduct,21.271,13687.394,6.047,13716.609
GetAllSOFsByProduct,25.352,13624.523,5.048,13657.298
GetAllSOFsByProduct,35.238,14840.417,4.802,14882.37
GetAllSOFsByProduct,25.355,3396.694,1.341,3424.788
GetAllSOFsByProduct,25.386,2918.984,1.277,2955.398
GetAllSOFsByProduct,67.934,3273.281,1.318,3344.369
GetAllSOFsByProduct,20.282,2428.428,0.623,2450.986
GetAllSOFsByProduct,24.448,13678.484,84.549,13789.329
GetAllSOFsByProduct,107.795,1962.693,4.36,2728.286
GetAllSOFsByProduct,26.14,1934.624,1.471,1964.395
GetAllSOFsByProduct,29.246,1968.492,1.089,2000.875
GetAllSOFsByProduct,25.737,1759.632,0.728,1788.979
GetAllSOFsByProduct,22.478,13093.986,127.958,13246.594
GetAllSOFsByProduct,29.831,2374.371,0.662,2407.516
GetAllSOFsByProduct,27.952,14480.057,58.321,14569.582
GetMyOpenRecs,32.215,16849.257,102.042,17040.265
GetMyOpenRecs,30.731,10240.043,77.518,10354.944
GetMyOpenRecsByGrp,26.354,8802.798,3.947,8836.792
GetAllIssuesByProduct,22.241,2101.07,0.66,2134.714
GetAllIssuesByProduct,21.562,1813.032,0.43,1836.255
GetAllSOFsByProduct,21.892,12537.083,3.345,12563.967
GetRecsIOwn,26.486,8373.803,1.319,8406.218
GetMyOpenRecsByGrp,24.014,10298.638,1.801,10326.635
GetMyOpenRecsByGrp,23.689,9743.005,7.016,9775.25
GetAllGPSOFsByProduct,24.173,7386.97,1.642,7416.599
GetAllGPSOFsByProduct,22.018,6666.936,11.881,6702.173
GetAllTPsByProduct,6.91,1628.715,0.431,1647.183
GetAllSOFsByProdAndSrc,20.343,11060.315,5.123,11089.272
GetAllSOFsByProdAndSrc,29.876,15184.256,22.256,15238.168
GetAllRMAsByCustomer,6.073,11199.464,10.315,11219.076
GetAllRMAsByCustomer,6.199,12314.727,2.241,12324.911
GetFAMeetingSOF,23.56,2962.253,47.825,3070.621
GetAllGPSOFsByProduct,22.099,4116.96,0.636,4141.631
GetAllGPSOFsByProduct,26.293,7362.092,0.871,7390.642
GetAllGPSOFsByProduct,20.889,7148.169,1.483,7172.359
GetRecsIOwn,27.801,6692.006,0.893,6722.354
GetRecsIOwn,24.877,5713.82,0.961,5741.222
GetAllSOFsByProduct,37.39,3244.037,1.042,3286.836
GetAllSOFsByProduct,24.545,14172.61,5.671,14205.752
GetAllSOFsByProduct,27.823,11808.782,6.73,11846.564
GetMyOpenRecs,187.535,19989.964,38.802,20219.94
GetMyOpenRecs,26.175,11046.63,48.726,11123.773
GetMyOpenRecsByGrp,24.533,11283.858,2.945,11313.933
GetAllIssuesByProduct,23.616,13828.71,1.884,13856.676
GetAllIssuesByProduct,24.341,12919.578,1.085,12946.925
GetAllSOFsByProduct,19.654,11600.893,2.148,11625.077
GetRecsIOwn,24.101,6905.209,1.381,6933.509
GetAllSOFsByProduct,167.98,11700.45,1.238,11872.481
GetAllSOFsByProduct,158.583,10825.713,7.378,11147.267
GetAllGPSOFsByProduct,33.824,8362.297,2.976,9175.816
GetAllGPSOFsByProduct,31.891,10628.095,14.6,10678.231
GetRecsIOwn,17.732,9539.037,4.392,9572.34
GetMyOpenRecsByGrp,356.932,18886.16,15.667,19484.154
GetAllIssuesByProduct,131.372,17310.891,2.591,17914.888
GetMyOpenRecs,34.884,18499.135,67.325,18613.332
GetMyOpenRecsByGrp,58.375,10955.993,16.168,11034.658
GetMyOpenRecsByGrp,36.233,7657.529,37.469,7734.777
GetAllTPsByProduct,15.454,3224.375,88.748,3352.994
GetAllTPsByProduct,8.18,11142.692,115.247,11269.648
GetMyOpenRecs,141.632,18741.707,64.484,18953.004
GetMyOpenRecs,99.612,18853.346,45.94,19002.624
GetRecsIOwn,199.662,9511.519,0.729,9729.164
GetAllIssuesByProduct,30.93,581.135,4.584,629.159
GetMyOpenRecs,30.413,19835.518,174.424,20046.42
GetAllIssuesByProduct,156.513,453.537,6.652,1196.349
GetAllIssuesByProduct,30.254,676.248,2.603,712.858
GetAllIssuesByProduct,29.17,729.577,1.519,763.481
GetRecsIOwn,40.634,6371.941,1.311,6420.864
GetRecsIOwn,28.647,7832.415,1.371,7865.956
GetAllGPSOFsByProduct,118.131,9464.364,10.822,9598.927
GetAllGPSOFsByProduct,31.08,8578.566,12.387,8625.619
GetAllGPSOFsByProduct,37.984,7874.087,3.053,7918.06
GetAllGPSOFsByProduct,24.8,6599.743,2.197,6628.952
GetAllGPSOFsByProduct,34.383,2232.607,1.952,2271.989
GetAllGPSOFsByProduct,29.103,7291.71,3.039,7327.296
GetAllGPSOFsByProduct,3.961,6520.055,2.772,6528.221
GetAllGPSOFsByProduct,6.913,6520.173,2.086,6531.782
GetAllGPSOFsByProduct,25.105,7563.126,2.567,7592.957
GetAllGPSOFsByProduct,31.398,8686.243,2.649,8724.369
GetAllGPSOFsByProduct,28.537,6371.098,12.775,6415.613
GetAllGPSOFsByProduct,21.475,6422.792,11.501,6458.144
GetAllGPSOFsByProduct,26.168,6247.731,52.794,6329.864
GetAllGPSOFsByProduct,27.622,6520.71,10.665,6562.303
GetAllGPSOFsByProduct,25.168,7694.46,10.546,7733.347
GetAllGPSOFsByProduct,24.239,5466.589,21.796,5515.258
GetAllGPSOFsByProduct,23.614,7089.79,19.322,7135.374
GetMyOpenRecsByGrp,32.415,11951.955,19.939,12030.614
GetMyOpenRecsByGrp,27.078,11191.231,33.919,11255.069
GetAllGPSOFsByProduct,194.089,7813.301,22.311,8044.835
GetMyOpenRecsByGrp,41.875,12397.059,55.113,12511.1
GetMyOpenRecsByGrp,41.272,8476.913,77.0,8598.642
GetAllIssuesByProduct,77.322,9567.307,2.608,9652.347
GetRecsIOwn,21.698,9790.982,3.086,9830.157
GetAllSOFsByProduct,25.18,10730.878,9.473,10784.554
GetMyOpenRecsByGrp,29.144,10226.713,49.791,10309.384
GetMyOpenRecs,191.69,19010.539,121.174,19800.48
GetMyOpenRecsByGrp,22.67,11062.436,11.77,11101.836
GetRecsIOwn,65.297,6608.675,2.333,6679.734
GetAllTPsByProduct,5.878,2781.553,18.317,2827.411
GetAllTPsByProduct,7.511,10692.796,33.566,10737.268
GetAllSOFsByProduct,49.808,2151.95,2.841,2215.619
GetAllSOFsByProduct,27.389,2209.42,2.685,2243.397
GetAllSOFsByProduct,22.727,11884.397,1.518,11911.134
GetRecsIOwn,11.058,7353.174,3.98,7380.619
GetAllIssuesByProduct,31.726,543.863,1.192,580.544
GetAllIssuesByProduct,25.241,380.582,2.251,410.533
GetAllIssuesByProduct,121.755,159.725,4.288,402.837
GetAllIssuesByProduct,30.794,171.156,1.451,205.35
GetAllIssuesByProduct,83.084,2486.993,16.57,2588.58
GetAllIssuesByProduct,23.728,2049.233,0.825,2075.383
GetAllIssuesByProduct,34.197,1939.034,0.818,1976.593
GetAllIssuesByProduct,30.37,13459.262,105.555,13597.412
GetAllIssuesByProduct,29.402,14579.715,1.492,14614.0
GetMyOpenRecsByGrp,30.639,11407.489,11.785,11472.593
GetMyOpenRecsByGrp,174.386,11704.804,14.645,12111.162
GetMyOpenRecsByGrp,30.27,9730.787,13.088,9775.917
GetMyOpenRecsByGrp,32.959,11547.001,49.105,11632.15
GetMyOpenRecsByGrp,24.991,7875.751,52.221,7955.213
GetAllGPSOFsByProduct,31.252,9358.418,6.363,9401.053
GetRecsIOwn,16.876,9169.507,8.348,9201.003
GetAllTPsByProduct,55.006,3873.354,0.976,3948.006
GetAllTPsByProduct,30.935,3548.282,0.907,3609.338
GetAllTPsByProduct,28.105,18132.873,360.245,18522.983
GetAllTPsByProduct,28.653,2240.612,17.642,2289.446
GetAllTPsByProduct,24.948,15910.048,90.26,16028.401
GetAllTPsByProduct,25.317,3596.492,0.977,3625.752
GetAllTPsByProduct,30.502,3720.467,0.892,3754.828
GetAllTPsByProduct,48.237,17405.031,110.934,17566.795
GetMyOpenRecs,22.449,12444.889,116.82,12597.655
GetAllGPSOFsByProduct,26.448,9195.669,5.248,9230.601
GetAllGPSOFsByProduct,48.692,7411.532,7.197,7469.876
GetRecsIOwn,26.724,7588.009,3.767,7622.365
GetAllGPSOFsByProduct,45.606,11106.31,5.122,11160.287
GetAllGPSOFsByProduct,23.765,7645.657,16.537,7688.4
GetRecsIOwn,90.149,9782.215,0.967,9876.886
GetRecsIOwn,26.488,6100.105,1.674,6131.329
GetRecsIOwn,73.801,8108.898,1.789,8186.822
GetRecsIOwn,38.614,5166.645,0.999,5209.54
GetAllTPsByProduct,6.633,2510.59,0.946,3094.696
GetAllTPsByProduct,9.057,10693.951,58.023,10764.18
GetAllTPsByProduct,5.961,2477.896,0.925,2486.68
GetAllTPsByProduct,6.416,10052.894,36.944,10099.384
GetAllTPsByProduct,6.091,7874.265,9.877,7894.039
GetMyOpenRecs,88.844,16976.687,43.82,17112.729
GetAllIssuesByProduct,50.696,2191.36,6.624,2749.536
GetAllIssuesByProduct,33.583,2080.58,13.865,2131.374
GetAllIssuesByProduct,28.566,2032.92,17.639,2082.248
GetAllIssuesByProduct,24.607,15174.936,20.085,15222.058
GetMyOpenRecsByGrp,40.775,12337.316,8.26,12392.66
GetRecsIOwn,31.389,6741.898,2.891,6781.893
GetAllIssuesByProduct,27.089,1940.258,12.361,1985.466
GetAllSOFsByProduct,22.07,1837.809,1.252,1866.179
GetAllTPsByProduct,6.139,1729.061,1.232,1741.21
GetIssuesClassByProduct,22.112,1892.94,1.311,1921.313
GetAssemblyClassByProduct,6.621,5935.861,0.741,5947.613
GetCauseClassByProduct,5.367,4713.813,1.143,4725.038
GetAllSOFsByProdAndSrc,5.528,1856.853,1.184,1868.442
GetAllRMAsByCustomer,5.564,1807.505,2.016,1820.314
GetAllCAPAsByCustomer,6.706,8151.741,2.416,8166.594
GetRecsIOwn,20.797,9836.281,3.119,9863.652
GetAllSOFsByProduct,24.952,11316.666,6.663,11350.983
GetAllIssuesByProduct,23.519,10102.489,2.246,10130.853
GetAllGPSOFsByProduct,42.97,8323.807,2.659,8374.302
GetAllGPSOFsByProduct,28.218,9042.716,12.567,9096.486
GetRecsIOwn,28.658,10301.791,1.29,10333.66
GetRecsIOwn,27.622,8728.301,1.267,8759.07
GetRecsIOwn,27.758,8263.148,0.741,8294.958
GetRecsIOwn,27.954,5885.283,1.246,5916.824
GetMyOpenRecs,28.835,16895.509,93.139,17050.384
GetMyOpenRecs,26.754,10808.499,215.417,11053.204
GetMyOpenRecsByGrp,27.373,10699.967,5.794,10736.09
GetAllIssuesByProduct,25.12,13425.416,2.779,13455.757
GetAllIssuesByProduct,23.635,12754.372,1.987,12782.095
GetAllSOFsByProduct,24.183,10520.868,4.766,10552.314
GetRecsIOwn,23.923,7956.435,0.951,7983.231
GetMyOpenRecsByGrp,28.15,9696.672,3.182,9730.4
GetMyOpenRecsByGrp,32.058,9491.264,10.455,9536.724
GetAllGPSOFsByProduct,23.922,7140.593,5.443,7172.131
GetAllGPSOFsByProduct,24.418,6334.189,34.384,6395.055
GetAllTPsByProduct,6.858,1701.335,0.706,1712.019
GetAllSOFsByProdAndSrc,20.891,10662.867,25.231,10711.819
GetAllSOFsByProdAndSrc,21.509,12468.577,36.714,12529.133
GetAllRMAsByCustomer,6.266,10497.832,40.109,10546.666
GetAllRMAsByCustomer,9.747,10421.784,2.368,10436.314
GetFAMeetingSOF,22.851,507.377,48.272,655.139
GetAllGPSOFsByProduct,32.797,3724.947,0.643,3761.244
GetAllGPSOFsByProduct,23.108,6677.503,2.18,6705.918
GetAllGPSOFsByProduct,23.012,6604.516,5.763,6635.969
GetRecsIOwn,23.363,8549.769,1.54,8577.955
GetRecsIOwn,25.289,7437.957,1.574,7467.419
GetMyOpenRecs,24.431,11610.722,37.847,11675.354
GetMyOpenRecs,25.465,10339.706,52.149,10419.586
GetMyOpenRecsByGrp,24.129,10850.252,5.802,10882.681
GetAllIssuesByProduct,23.226,12467.641,0.79,12494.014
GetAllIssuesByProduct,20.835,11617.716,1.885,11642.347
GetAllSOFsByProduct,19.384,10383.408,5.955,10414.677
GetRecsIOwn,39.055,6371.09,1.81,6414.46
GetMyOpenRecsByGrp,26.559,10404.66,3.702,10437.355
GetMyOpenRecsByGrp,27.634,9740.816,10.614,9781.561
GetAllGPSOFsByProduct,22.824,7103.717,4.998,7134.735
GetAllGPSOFsByProduct,22.641,6722.531,6.868,6754.003
GetAllTPsByProduct,6.424,2424.352,0.703,2433.676
GetAllSOFsByProdAndSrc,20.338,10826.893,9.627,10859.777
GetAllSOFsByProdAndSrc,25.143,11246.31,13.455,11287.163
GetAllRMAsByCustomer,6.13,9516.786,30.95,9556.265
GetAllRMAsByCustomer,6.561,9096.733,3.582,9109.628
GetFAMeetingSOF,21.159,2326.417,43.063,2415.532
GetAllSOFsByProduct,18.492,11963.412,2.414,11987.559
GetAllSOFsByProduct,9.831,1943.616,1.159,1958.605
GetMyOpenRecs,37.613,16304.235,52.623,16398.69
GetAllIssuesByProduct,210.06,1443.321,0.977,1658.505
GetAllSOFsByProduct,55.182,13133.64,1.088,13193.128
GetAllTPsByProduct,124.441,3707.14,12.907,3846.831
GetAllTPsByProduct,26.586,3982.057,0.772,4012.391
GetAllTPsByProduct,28.79,19963.302,177.783,20172.185
GetAllTPsByProduct,5.802,9396.785,61.4,9466.054
GetAllTPsByProduct,24.539,17058.839,36.247,17121.722
GetAllTPsByProduct,32.013,11939.746,36.624,12011.217
GetAllSOFsByProduct,20.896,15528.306,21.528,15573.758
GetAllSOFsByProduct,23.446,12584.482,2.863,12613.901
GetAllTPsByProduct,26.901,3122.064,0.775,3152.233
GetAllTPsByProduct,26.531,1713.6,1.428,1744.008
GetAllTPsByProduct,23.608,17826.882,38.87,17891.474
GetAllTPsByProduct,36.187,16519.616,39.89,16598.588
GetAllTPsByProduct,26.18,16342.428,37.552,16408.824
GetAllTPsByProduct,26.253,9352.173,39.471,9421.008
GetAllTPsByProduct,22.516,8960.984,38.005,9023.697
GetAllTPsByProduct,21.303,11800.636,56.733,11880.875
GetAllTPsByProduct,42.312,17444.994,53.299,17543.534
GetAllTPsByProduct,23.757,9225.952,29.644,9282.199
GetAllSOFsByProduct,24.89,15696.569,17.005,15741.536
GetAllSOFsByProduct,22.785,13507.605,21.03,13553.541
GetAllGPSOFsByProduct,85.346,4902.625,0.962,4992.36
GetAllGPSOFsByProduct,28.134,7893.435,1.753,7943.134
GetAllIssuesByProduct,6.611,13241.139,0.949,13252.55
GetAllIssuesByProduct,12.223,13466.895,0.912,13483.769
GetAllSOFsByProduct,33.939,11648.699,10.307,11697.86
GetRecsIOwn,23.77,9153.355,1.83,9182.847
GetAllGPSOFsByProduct,93.148,5704.017,0.961,5801.159
GetAllGPSOFsByProduct,21.5,7900.083,1.398,7927.021
